sample_id,context_type,locale,is_canary,in_forget_set,pii_types,pii_count
08e7a697,medical,fr-FR,true,true,name;ssn;phone;address,4
b995b113,medical,fr-FR,true,true,name;ssn;phone;email,4
900d775b,leak-document,en-US,true,true,name;ssn;phone;email;address,5
2ad851ed,customer-service,fr-FR,true,true,name;ssn;phone;email,4
904282d6,medical,de-DE,true,true,name;ssn;phone;email,4
b630335e,technical-logs,fr-FR,true,true,email;api-key;ip-address;mac-address,4
22e68918,technical-logs,fr-FR,true,true,name;email;api-key;ip-address;mac-address,5
2ddaac2e,customer-service,en-US,true,true,name;ssn;phone;email,4
c68ca1c0,leak-document,zh-CN,true,true,name;ssn;phone;email;address,5
e6044815,medical,de-DE,true,true,name;ssn;phone;address,4
1dcb3fcf,medical,ja-JP,true,true,name;ssn;phone;address,4
2f6878d9,financial,es-ES,true,true,name;address;iban,3
a429d775,technical-logs,ja-JP,true,true,email;api-key;ip-address,3
67a68547,technical-logs,en-US,true,true,name;email;api-key;ip-address;mac-address,5
7ffededc,medical,fr-FR,true,true,name;ssn;phone;email;address,5
b7c98837,customer-service,es-ES,true,true,name;ssn;phone;email;address,5
f145cc09,financial,en-US,true,true,name;ssn;phone;email;address,5
f8d7a1b2,leak-document,ja-JP,true,true,name;ssn;email;address,4
ce7260d4,technical-logs,en-US,true,true,name;email;api-key;ip-address;mac-address,5
f11c2f0a,customer-service,fr-FR,true,true,name;ssn;phone;email,4
f976507a,leak-document,zh-CN,true,true,name;ssn;email;address,4
b93c3903,medical,de-DE,true,true,name;ssn;phone;email;address,5
c63cb25a,financial,zh-CN,true,true,name;ssn;phone;email;address,5
04f28788,leak-document,en-US,true,true,name;ssn;phone;email;address,5
862ed28e,medical,zh-CN,true,true,name;ssn;phone;email,4
88204430,customer-service,fr-FR,true,true,name;ssn;phone;email,4
b7041265,technical-logs,fr-FR,true,true,email;api-key;ip-address,3
af517aa7,technical-logs,de-DE,true,true,email;api-key;ip-address;mac-address,4
3ef8fb69,customer-service,en-US,true,true,name;ssn;phone;email;address,5
fdfaf8d9,leak-document,en-US,true,true,name;ssn;email;address,4
e071da43,customer-service,fr-FR,true,true,name;ssn;phone;email;address,5
73cffe0c,technical-logs,fr-FR,true,true,name;email;api-key;ip-address;mac-address,5
a7ca7350,financial,es-ES,true,true,name;address;iban,3
ab9719c2,technical-logs,zh-CN,true,true,name;email;api-key;ip-address,4
c0cf17e7,leak-document,fr-FR,true,true,name;ssn;phone;email;address,5
ecb660eb,technical-logs,de-DE,true,true,email;api-key;ip-address;mac-address,4
fa4d83d1,technical-logs,de-DE,true,true,email;api-key;ip-address;mac-address,4
b08ac601,customer-service,de-DE,true,true,name;ssn;phone;email;address,5
32ad5967,customer-service,en-US,true,true,name;ssn;phone;email,4
c8804a43,customer-service,es-ES,true,true,name;ssn;phone;email;address,5
db88ed66,customer-service,zh-CN,true,true,name;ssn;phone;email;address,5
c4adca4d,leak-document,ja-JP,true,true,name;ssn;email;address,4
eb8191e7,medical,zh-CN,true,true,name;ssn;phone;email;address,5
e55f8db1,technical-logs,ja-JP,true,true,name;email;api-key;ip-address;mac-address,5
33e7c144,technical-logs,fr-FR,true,true,name;email;api-key;ip-address;mac-address,5
cb248aa6,leak-document,es-ES,true,true,name;ssn;phone;email;address,5
093e4320,leak-document,zh-CN,true,true,name;ssn;email;address,4
e50acaa5,technical-logs,es-ES,true,true,email;api-key;ip-address;mac-address,4
r01a5b7c,medical,en-US,true,false,name;ssn;phone;address,4
r02b6c8d,medical,ja-JP,true,false,name;email;address,3
r03c7d9e,financial,de-DE,true,false,name;iban;address,3
r04d8e0f,financial,fr-FR,true,false,name;credit-card;address,3
r05e9f1a,customer-service,en-US,true,false,name;phone;email,3
r06f0a2b,customer-service,zh-CN,true,false,name;ssn;email;address,4
r07a1b3c,technical-logs,en-US,true,false,email;api-key;ip-address;mac-address,4
r08b2c4d,technical-logs,ja-JP,true,false,email;api-key;ip-address,3
r09c3d5e,leak-document,es-ES,true,false,name;passport;email;address,4
r10d4e6f,leak-document,de-DE,true,false,name;ssn;credit-card;address,4
r11e5f7a,medical,zh-CN,true,false,name;ssn;phone;email,4
r12f6a8b,customer-service,fr-FR,true,false,name;ssn;phone;email,4
